3.17185,3.16
11.0738,10.97
3.45505,3.85
4.01182,3.79
9.69667,9.59
8.74202,7.86
10.4309,10.25
5.42678,5.88
7.00624,7.5
6.52995,5.89
9.99879,10.21
3.51313,3.96
2.05088,2.29
10.0575,9.51
4.17183,-1.9
4.27211,4.88
8.269,8.12
9.73499,9.62
10.9736,6.3
11.8422,11.84
9.3322,6.76
11.0185,12.4
6.25586,7.6
2.72187,2.76
6.60053,6.55
6.85284,5.64
3.152,1
5.95029,2.76
3.92505,1.37
5.58546,5.92
9.11062,10
9.65282,9.34
10.7627,10.49
6.13504,3.6
8.1561,8.95
10.5039,10.36
8.6873,8.5
4.52593,4.74
12.9331,12.81
9.31652,8.9
9.37476,8.83
2.25083,1.98
10.1144,10.73
10.8636,10.89
10.6348,9.81
4.99119,4.78
6.67578,7.25
5.23887,5.46
4.72141,6
8.70957,9.05
2.83717,0.37
7.73587,6.95
4.20119,4.28
8.38384,8.68
6.11657,5.79
11.7339,7.5
4.44216,4.2
9.14109,8.31
3.34989,3.1
3.56281,3.2
4.34874,4.825
9.05542,9.87
11.0315,10
12.3796,12.54
3.98328,2
4.24235,3.83
3.3505,3.74
10.0923,10.26
4.37102,4.38
7.29992,7.12
12.8919,12.44
6.70636,6.73
4.66871,5.03
1.23409,5.65
5.47016,5.01
5.18374,4
7.60888,8.22
2.98215,2.85
4.31412,3.98
3.81492,2.11
10.0392,10.4
12.8403,11.48
12.9521,14.34
10.1714,8.79
10.4065,9.3
12.3541,13.18
10.4834,10.1
3.71826,4.9
8.3334,10.43
8.30285,13.8
7.73102,7.54
10.6646,10.22
8.61837,8.78
6.75595,7
7.40701,5.15
3.31064,3.4
0.486899,-2.2
6.23095,6.76
5.47834,5.33
6.6578,6.76
8.86738,8.91
9.60162,9.98
10.1077,12.05
4.25691,4.75
8.71973,10
4.86235,5.17
10.9597,11.34
9.26881,9.23
3.90342,2.74
10.6048,10.54
6.12481,3.58
7.57509,7.84
2.8974,2.73
2.51198,1.89
10.2768,10.07
10.4064,11.74
3.01097,2.98
11.6394,11.81
8.02117,9.2
11.4772,13.45
4.04085,4.13
5.16154,2.5
9.24374,12.12
8.81923,11.4
11.9009,11.91
4.23714,4.36
5.58334,6.8
6.60226,9.86
7.55612,6.87
8.31789,13.1
8.75311,11
4.91687,4.8
7.71409,7.72
4.33789,4.8
-3.93484,-7.1
14.184,20.5
8.2574,4.8
10.6182,10.91
