Index,local_ppv
0,0.00012753
1,0.000104418
2,0.000132021
3,0.000773264
4,0.000100708
5,0.00102188
6,0.000757488
7,5.05093e-05
8,0.000101155
9,0.000533527
10,7.6542e-05
11,0.000195728
12,0.00579545
13,0.000286506
14,0.0003307
15,0.000159847
16,0.000256535
17,8.37716e-05
18,0.00465629
19,0.000800619
20,0.0005853
21,0.000272328
22,0.000191403
23,0.000204155
24,0.000154068
25,0.000813272
26,1.31619e-05
27,0.000150148
28,0.00207222
29,0.000313235
30,8.02348e-05
31,8.57102e-05
32,0.000356807
33,0.000538776
34,0.00106532
35,0.000979607
36,9.05403e-05
37,0.00023725
38,0.0087863
39,0.000303839
40,0.000195427
41,0.000432002
42,0.000291841
43,0.000478165
44,0.00083956
45,0.000268069
46,0.000611183
47,0.00033492
48,0.000153216
49,0.000148098
50,0.000263972
51,0.000100662
52,8.4066e-05
53,0.000415813
54,0.00027225
55,0.000304365
56,1.16909e-05
57,0.000608867
58,0.000627379
59,0.000823087
60,0.000200557
61,5.13604e-05
62,0.000486612
63,0.00998877
64,7.17015e-05
65,0.000125998
66,2.52531e-05
67,0.000443554
68,0.000419735
69,6.78884e-05
70,0.000166666
71,0.000260407
72,0.000469146
73,0.000226524
74,0.000470908
75,0.000365282
76,0.000728019
77,0.00019479
78,0.000157452
79,0.00192454
80,0.000610526
81,9.06485e-05
82,0.00130207
83,0.00109102
84,0.000187589
85,7.50151e-05
86,0.00153444
87,0.000315026
88,0.000368736
89,0.000282643
90,0.000348163
91,0.000459412
92,0.000134855
93,0.000213311
94,0.00183666
95,0.000298256
96,0.000138997
97,0.000445558
98,4.81441e-05
99,0.00044751
100,0.000915394
101,0.000460177
102,0.000517505
103,0.000172586
104,8.78175e-05
105,0.000218964
106,0.000359546
107,0.000454933
108,0.000750014
109,0.00033307
110,0.000354004
111,0.000291806
112,0.000169151
113,7.82144e-05
114,7.78766e-05
115,0.000980321
116,0.000244179
117,0.000251832
118,0.000254429
119,0.000173912
120,7.99592e-05
121,0.000526468
122,0.000583842
123,0.000489343
124,0.000259638
125,0.000199192
126,0.000200831
127,0.00014184
128,0.00023992
129,9.37791e-05
130,1.43933e-05
131,0.000117893
132,4.84867e-05
133,0.00155854
134,0.000415141
135,0.000148611
136,0.00228047
137,0.000717395
138,0.000341259
139,0.000253101
140,0.00061029
141,0.000210736
142,0.00107529
143,0.000370779
144,0.000519028
145,0.000652775
146,0.000407489
147,0.000206062
148,0.000147418
149,0.000133639
150,0.000997396
151,0.00060066
152,0.000108893
153,0.000316535
154,0.000266568
155,0.000376655
156,0.00164743
157,0.00122747
158,0.00044387
159,0.0002121
160,0.000182669
161,0.000148067
162,0.000103489
163,0.000559714
164,0.000275801
165,0.000145995
166,0.000224641
167,0.000197654
168,0.00042885
169,0.000472552
170,0.000137102
171,0.000591682
172,0.000205673
173,0.000540511
174,0.000205412
175,0.000121442
176,0.000225417
177,0.000370573
178,0.000719618
179,0.000327879
180,0.000161847
181,0.000451775
182,6.33813e-05
183,0.0145911
184,0.000351158
185,0.000573525
186,0.000190027
187,0.00800268
188,0.000162545
189,1.23784e-05
190,0.000138215
191,0.000181629
192,0.000424361
193,0.019841
194,0.000233029
195,0.000179518
196,0.00290247
197,0.000107579
198,0.000266902
199,0.000364352
200,0.000239125
201,0.000262045
202,0.000440793
203,0.00013286
204,0.000406166
205,0.000373578
206,0.000268327
207,0.000150867
208,6.98845e-05
209,0.000182831
210,9.68666e-05
211,0.000333714
212,0.000438432
213,0.000131672
214,0.000286745
215,0.00126545
216,0.00147844
217,0.000163413
218,0.000147915
219,0.000356397
220,0.000137988
221,0.000318563
222,0.000221424
223,9.32932e-05
224,0.000120418
225,0.00290125
226,0.000491619
227,0.000504693
228,0.000109177
229,0.000138027
230,0.000190018
231,0.000141472
232,9.18999e-05
233,0.000156338
234,0.000396012
235,0.00200017
236,1.7473e-05
237,5.24182e-05
238,0.000338902
239,0.000124263
240,0.000470317
241,0.00026956
242,0.00109575
243,8.62391e-05
244,0.000286568
245,0.00390551
246,0.000608612
247,0.000398864
248,0.000156137
249,0.000477283
250,0.000256199
251,0.000443357
252,0.00018074
253,0.000196807
254,0.000215416
255,0.00754052
256,0.000340483
257,0.000334854
258,0.000617671
259,0.00025827
260,0.00106459
261,0.000135131
262,0.000106337
263,0.00802442
264,0.000108242
265,0.000779375
266,0.000267549
267,0.000608341
268,0.000511043
269,0.00261371
270,0.00100717
271,0.000100993
272,0.000418027
273,0.00204094
274,0.000494028
275,0.000189099
276,0.000939148
277,0.000554618
