InformationGainRatio	TPR	PPV	LocalPPV	Ideal-PPV	Ideal-PPV_FPRelative	FPR	Cutoff	
0.186541	0.00171821	1	1	1	1	0	1.02238	
0.202093	0.00343643	1	1	1	1	0	1.01799	
0.212485	0.00515464	1	1	1	1	0	1.01634	
0.0986421	0.00515464	0.75	0.99712	1	0.998285	0.00038956	1.00045	
0.119974	0.00687285	0.8	0.993927	1	0.998285	0.00038956	0.993266	
0.136756	0.00859107	0.833333	0.990369	1	0.998285	0.00038956	0.987284	
0.150482	0.0103093	0.857143	0.987647	1	0.998285	0.00038956	0.983432	
0.162047	0.0120275	0.875	0.985795	1	0.998285	0.00038956	0.981052	
0.172016	0.0137457	0.888889	0.985768	1	0.998285	0.00038956	0.981018	
0.180769	0.0154639	0.9	0.985649	1	0.998285	0.00038956	0.980871	
0.188566	0.0171821	0.909091	0.984079	1	0.998285	0.00038956	0.978981	
0.195598	0.0189003	0.916667	0.979551	1	0.998285	0.00038956	0.974	
0.202002	0.0206186	0.923077	0.977914	1	0.998285	0.00038956	0.972338	
0.207886	0.0223368	0.928571	0.975831	1	0.998285	0.00038956	0.97031	
0.21333	0.024055	0.933333	0.974821	1	0.998285	0.00038956	0.969358	
0.218399	0.0257732	0.9375	0.972404	1	0.998285	0.00038956	0.967155	
0.223145	0.0274914	0.941176	0.964286	1	0.998285	0.00038956	0.960386	
0.22761	0.0292096	0.944444	0.961348	1	0.998285	0.00038956	0.958452	
0.231828	0.0309278	0.947368	0.959395	1	0.998285	0.00038956	0.95741	
0.235828	0.032646	0.95	0.958059	1	0.998285	0.00038956	0.956762	
0.239635	0.0343643	0.952381	0.955739	1	0.998285	0.00038956	0.955726	
0.243268	0.0360825	0.954545	0.939032	1	0.998285	0.00038956	0.949877	
0.246744	0.0378007	0.956522	0.935161	1	0.998285	0.00038956	0.948726	
0.25008	0.0395189	0.958333	0.930767	1	0.998285	0.00038956	0.947469	
0.253287	0.0412371	0.96	0.926199	1	0.998285	0.00038956	0.946205	
0.256377	0.0429553	0.961538	0.915085	1	0.998285	0.00038956	0.943252	
0.25936	0.0446735	0.962963	0.914532	1	0.998285	0.00038956	0.943108	
0.262245	0.0463918	0.964286	0.907845	1	0.998285	0.00038956	0.941382	
0.265039	0.04811	0.965517	0.898138	1	0.998285	0.00038956	0.938894	
0.267749	0.0498282	0.966667	0.898033	1	0.998285	0.00038956	0.938867	
0.270382	0.0515464	0.967742	0.897667	1	0.998285	0.00038956	0.938773	
0.247375	0.0515464	0.9375	0.894287	1	0.996575	0.00077912	0.937903	
0.250318	0.0532646	0.939394	0.888602	1	0.996575	0.00077912	0.936426	
0.253179	0.0549828	0.941176	0.884723	1	0.996575	0.00077912	0.935403	
0.234576	0.0549828	0.914286	0.882561	1	0.994872	0.00116868	0.934826	
0.237609	0.056701	0.916667	0.879815	1	0.994872	0.00116868	0.934084	
0.24056	0.0584192	0.918919	0.876451	1	0.994872	0.00116868	0.933159	
0.224783	0.0584192	0.894737	0.871802	1	0.993174	0.00155824	0.931844	
0.227831	0.0601375	0.897436	0.856469	1	0.993174	0.00155824	0.926998	
0.230804	0.0618557	0.9	0.855772	1	0.993174	0.00155824	0.926748	
0.217052	0.0618557	0.878049	0.852645	1	0.991482	0.0019478	0.925574	
0.220077	0.0635739	0.880952	0.849503	1	0.991482	0.0019478	0.924283	
0.20777	0.0635739	0.860465	0.846175	1	0.989796	0.00233736	0.922732	
0.210817	0.0652921	0.863636	0.845023	1	0.989796	0.00233736	0.922129	
