InformationGainRatio	TPR	PPV	LocalPPV	Ideal-PPV	Ideal-PPV_FPRelative	FPR	Cutoff	
0.186541	0.00171821	1	1	1	1	0	1.08285	
0.202093	0.00343643	1	1	1	1	0	1.07736	
0.212485	0.00515464	1	1	1	1	0	1.07399	
0.220553	0.00687285	1	1	1	1	0	1.07286	
0.227263	0.00859107	1	1	1	1	0	1.07236	
0.233071	0.0103093	1	1	1	1	0	1.0596	
0.23823	0.0120275	1	1	1	1	0	1.05697	
0.242898	0.0137457	1	1	1	1	0	1.05647	
0.24718	0.0154639	1	1	1	1	0	1.05419	
0.251149	0.0171821	1	1	1	1	0	1.05391	
0.254858	0.0189003	1	1	1	1	0	1.05094	
0.258349	0.0206186	1	1	1	1	0	1.05031	
0.261652	0.0223368	1	1	1	1	0	1.04588	
0.264794	0.024055	1	1	1	1	0	1.0445	
0.21333	0.024055	0.933333	0.998894	1	0.998285	0.00038956	1.04236	
0.218399	0.0257732	0.9375	0.998659	1	0.998285	0.00038956	1.04214	
0.186589	0.0257732	0.882353	0.998426	1	0.996575	0.00077912	1.04194	
0.192183	0.0274914	0.888889	0.986588	1	0.996575	0.00077912	1.03673	
0.197446	0.0292096	0.894737	0.983991	1	0.996575	0.00077912	1.03596	
0.202414	0.0309278	0.9	0.979337	1	0.996575	0.00077912	1.0347	
0.179189	0.0309278	0.857143	0.977559	1	0.994872	0.00116868	1.03425	
0.184308	0.032646	0.863636	0.97056	1	0.994872	0.00116868	1.0326	
0.189178	0.0343643	0.869565	0.96579	1	0.994872	0.00116868	1.03156	
0.193825	0.0360825	0.875	0.961853	1	0.994872	0.00116868	1.03074	
0.198268	0.0378007	0.88	0.955683	1	0.994872	0.00116868	1.02951	
0.180042	0.0378007	0.846154	0.949283	1	0.993174	0.00155824	1.02829	
0.184528	0.0395189	0.851852	0.946859	1	0.993174	0.00155824	1.02784	
0.188841	0.0412371	0.857143	0.939522	1	0.993174	0.00155824	1.02651	
0.192992	0.0429553	0.862069	0.934771	1	0.993174	0.00155824	1.02567	
0.177738	0.0429553	0.833333	0.931157	1	0.991482	0.0019478	1.02504	
0.181884	0.0446735	0.83871	0.925403	1	0.991482	0.0019478	1.02405	
0.185893	0.0463918	0.84375	0.924231	1	0.991482	0.0019478	1.02385	
0.172633	0.0463918	0.818182	0.924173	1	0.989796	0.00233736	1.02384	
0.176606	0.04811	0.823529	0.920818	1	0.989796	0.00233736	1.02327	
0.180461	0.0498282	0.828571	0.89995	1	0.989796	0.00233736	1.01977	
0.184204	0.0515464	0.833333	0.895829	1	0.989796	0.00233736	1.01908	
0.187842	0.0532646	0.837838	0.895292	1	0.989796	0.00233736	1.01899	
0.191381	0.0549828	0.842105	0.882519	1	0.989796	0.00233736	1.01683	
0.198183	0.0584192	0.85	0.88141	1	0.989796	0.00233736	1.01664	
0.201457	0.0601375	0.853659	0.881002	1	0.989796	0.00233736	1.01657	
0.204651	0.0618557	0.857143	0.8438	1	0.989796	0.00233736	1.00966	
0.20777	0.0635739	0.860465	0.835936	1	0.989796	0.00233736	1.00794	
0.210817	0.0652921	0.863636	0.833451	1	0.989796	0.00233736	1.00736	
0.199679	0.0652921	0.844444	0.824539	1	0.988115	0.00272692	1.00506	
0.189457	0.0652921	0.826087	0.824083	1	0.986441	0.00311648	1.00493	
0.192557	0.0670103	0.829787	0.812962	1	0.986441	0.00311648	1.00094	
0.195593	0.0687285	0.833333	0.811204	1	0.986441	0.00311648	0.999984	
0.198568	0.0704467	0.836735	0.811063	1	0.986441	0.00311648	0.999897	
0.201485	0.0721649	0.84	0.808236	1	0.986441	0.00311648	0.996736	
0.204345	0.0738832	0.843137	0.808208	1	0.986441	0.00311648	0.996438	
0.195105	0.0738832	0.826923	0.80818	1	0.984772	0.00350604	0.996081	
