InformationGainRatio	TPR	PPV	LocalPPV	Ideal-PPV	Ideal-PPV_FPRelative	FPR	Cutoff	
0.0302332	0.000417537	1	1	1	1	0	1.12413	
0.032746	0.000835073	1	1	1	1	0	1.12341	
0.0344219	0.00125261	1	1	1	1	0	1.12336	
0.0357205	0.00167015	1	1	1	1	0	1.12301	
0.0367987	0.00208768	1	1	1	1	0	1.12299	
0.0377303	0.00250522	1	1	1	1	0	1.12284	
0.0385565	0.00292276	1	1	1	1	0	1.1228	
0.0393028	0.00334029	1	1	1	1	0	1.12272	
0.00779084	0.00334029	0.888889	1	1	0.999583	0.00132626	1.12269	
0.00953437	0.00375783	0.9	0.999994	1	0.999583	0.00132626	1.12251	
0.0111711	0.00417537	0.909091	0.999989	1	0.999583	0.00132626	1.12244	
0.012703	0.0045929	0.916667	0.99998	1	0.999583	0.00132626	1.12235	
0.0141367	0.00501044	0.923077	0.999944	1	0.999583	0.00132626	1.12209	
0.0154801	0.00542797	0.928571	0.999821	1	0.999583	0.00132626	1.12159	
0.0167413	0.00584551	0.933333	0.999798	1	0.999583	0.00132626	1.12152	
0.017928	0.00626305	0.9375	0.999792	1	0.999583	0.00132626	1.1215	
0.0190474	0.00668058	0.941176	0.999703	1	0.999583	0.00132626	1.12126	
0.0201058	0.00709812	0.944444	0.999671	1	0.999583	0.00132626	1.12118	
0.0211088	0.00751566	0.947368	0.999645	1	0.999583	0.00132626	1.12112	
0.0106564	0.00751566	0.9	0.999614	1	0.999166	0.00265252	1.12105	
0.0115971	0.00793319	0.904762	0.999609	1	0.999166	0.00265252	1.12104	
0.0133934	0.00876827	0.913043	0.99939	1	0.999166	0.00265252	1.12061	
0.0142502	0.0091858	0.916667	0.999139	1	0.999166	0.00265252	1.1202	
0.0150806	0.00960334	0.92	0.999051	1	0.999166	0.00265252	1.12007	
0.0158856	0.0100209	0.923077	0.999002	1	0.999166	0.00265252	1.12	
0.0166662	0.0104384	0.925926	0.998966	1	0.999166	0.00265252	1.11995	
0.0174235	0.0108559	0.928571	0.998893	1	0.999166	0.00265252	1.11985	
0.0181586	0.0112735	0.931034	0.99884	1	0.999166	0.00265252	1.11978	
0.0188726	0.011691	0.933333	0.998684	1	0.999166	0.00265252	1.11958	
0.0195663	0.0121086	0.935484	0.998492	1	0.999166	0.00265252	1.11935	
0.0202409	0.0125261	0.9375	0.998344	1	0.999166	0.00265252	1.11918	
0.0208971	0.0129436	0.939394	0.998085	1	0.999166	0.00265252	1.1189	
0.021536	0.0133612	0.941176	0.997999	1	0.999166	0.00265252	1.11881	
0.0221582	0.0137787	0.942857	0.99791	1	0.999166	0.00265252	1.11872	
0.0227647	0.0141962	0.944444	0.99787	1	0.999166	0.00265252	1.11868	
0.023356	0.0146138	0.945946	0.99784	1	0.999166	0.00265252	1.11865	
0.023933	0.0150313	0.947368	0.99783	1	0.999166	0.00265252	1.11864	
0.0244963	0.0154489	0.948718	0.99778	1	0.999166	0.00265252	1.11859	
0.0250465	0.0158664	0.95	0.997749	1	0.999166	0.00265252	1.11856	
0.0255841	0.0162839	0.95122	0.997487	1	0.999166	0.00265252	1.11831	
0.0261098	0.0167015	0.952381	0.9974	1	0.999166	0.00265252	1.11823	
0.0271274	0.0175365	0.954545	0.997301	1	0.999166	0.00265252	1.11814	
0.0276202	0.0179541	0.955556	0.997246	1	0.999166	0.00265252	1.11809	
0.028103	0.0183716	0.956522	0.997018	1	0.999166	0.00265252	1.11789	
0.0285761	0.0187891	0.957447	0.996949	1	0.999166	0.00265252	1.11783	
0.0290399	0.0192067	0.958333	0.996843	1	0.999166	0.00265252	1.11774	
0.0299414	0.0200418	0.96	0.996831	1	0.999166	0.00265252	1.11773	
0.0233513	0.0200418	0.941176	0.996687	1	0.998749	0.00397878	1.11761	
0.0238117	0.0204593	0.942308	0.996639	1	0.998749	0.00397878	1.11757	
0.0242646	0.0208768	0.943396	0.99659	1	0.998749	0.00397878	1.11753	
0.0247103	0.0212944	0.944444	0.996578	1	0.998749	0.00397878	1.11752	
0.0251489	0.0217119	0.945455	0.996566	1	0.998749	0.00397878	1.11751	
0.0255807	0.0221294	0.946429	0.996504	1	0.998749	0.00397878	1.11746	
0.0264246	0.0229645	0.948276	0.996467	1	0.998749	0.00397878	1.11743	
0.0268372	0.023382	0.949153	0.996455	1	0.998749	0.00397878	1.11742	
0.0272437	0.0237996	0.95	0.996304	1	0.998749	0.00397878	1.1173	
0.0276444	0.0242171	0.95082	0.996215	1	0.998749	0.00397878	1.11723	
0.0280394	0.0246347	0.951613	0.996138	1	0.998749	0.00397878	1.11717	
0.0284289	0.0250522	0.952381	0.996112	1	0.998749	0.00397878	1.11715	
0.028813	0.0254697	0.953125	0.996035	1	0.998749	0.00397878	1.11709	
0.029192	0.0258873	0.953846	0.995784	1	0.998749	0.00397878	1.1169	
0.0295659	0.0263048	0.954545	0.995717	1	0.998749	0.00397878	1.11685	
0.0299349	0.0267223	0.955224	0.995623	1	0.998749	0.00397878	1.11678	
0.0302991	0.0271399	0.955882	0.995582	1	0.998749	0.00397878	1.11675	
0.0306587	0.0275574	0.956522	0.995487	1	0.998749	0.00397878	1.11668	
0.0313644	0.0283925	0.957746	0.995459	1	0.998749	0.00397878	1.11666	
0.0317108	0.02881	0.958333	0.995446	1	0.998749	0.00397878	1.11665	
0.0320531	0.0292276	0.958904	0.995307	1	0.998749	0.00397878	1.11655	
0.0323913	0.0296451	0.959459	0.995237	1	0.998749	0.00397878	1.1165	
0.0273919	0.0296451	0.946667	0.995153	1	0.998333	0.00530504	1.11644	
0.0277376	0.0300626	0.947368	0.995139	1	0.998333	0.00530504	1.11643	
0.0280795	0.0304802	0.948052	0.995125	1	0.998333	0.00530504	1.11642	
0.0284178	0.0308977	0.948718	0.995082	1	0.998333	0.00530504	1.11639	
0.0287525	0.0313152	0.949367	0.995011	1	0.998333	0.00530504	1.11634	
0.0290837	0.0317328	0.95	0.994911	1	0.998333	0.00530504	1.11627	
0.0294116	0.0321503	0.950617	0.994752	1	0.998333	0.00530504	1.11616	
0.0297361	0.0325678	0.95122	0.994458	1	0.998333	0.00530504	1.11596	
0.0300574	0.0329854	0.951807	0.994413	1	0.998333	0.00530504	1.11593	
0.0303755	0.0334029	0.952381	0.994309	1	0.998333	0.00530504	1.11586	
0.0306905	0.0338205	0.952941	0.994082	1	0.998333	0.00530504	1.11571	
0.0265115	0.0338205	0.94186	0.994067	1	0.997917	0.0066313	1.1157	
0.026829	0.034238	0.942529	0.993883	1	0.997917	0.0066313	1.11558	
0.0274555	0.0350731	0.94382	0.993852	1	0.997917	0.0066313	1.11556	
0.0277647	0.0354906	0.944444	0.993239	1	0.997917	0.0066313	1.11517	
0.028375	0.0363257	0.945652	0.993191	1	0.997917	0.0066313	1.11514	
0.0286762	0.0367432	0.946237	0.993127	1	0.997917	0.0066313	1.1151	
0.028975	0.0371608	0.946809	0.993079	1	0.997917	0.0066313	1.11507	
0.0292712	0.0375783	0.947368	0.993046	1	0.997917	0.0066313	1.11505	
0.029565	0.0379958	0.947917	0.992803	1	0.997917	0.0066313	1.1149	
0.0259567	0.0379958	0.938144	0.99254	1	0.997501	0.00795756	1.11474	
