InformationGainRatio	TPR	PPV	LocalPPV	Ideal-PPV	Ideal-PPV_FPRelative	FPR	Cutoff	
0.0820713	0.000667557	1	1	1	1	0	1.11735	
0.0888974	0.00133511	1	1	1	1	0	1.1102	
0.0934518	0.00200267	1	1	1	1	0	1.10895	
0.0969827	0.00267023	1	1	1	1	0	1.1088	
0.0999153	0.00333778	1	1	1	1	0	1.10612	
0.10245	0.00400534	1	1	1	1	0	1.10532	
0.104699	0.0046729	1	1	1	1	0	1.10486	
0.106731	0.00534045	1	1	1	1	0	1.10467	
0.108593	0.00600801	1	1	1	1	0	1.10352	
0.110316	0.00667557	1	1	1	1	0	1.10333	
0.111925	0.00734312	1	1	1	1	0	1.10184	
0.113438	0.00801068	1	1	1	1	0	1.10175	
0.114867	0.00867824	1	1	1	1	0	1.09987	
0.116225	0.00934579	1	1	1	1	0	1.09939	
0.11752	0.0100134	1	1	1	1	0	1.09833	
0.118759	0.0106809	1	1	1	1	0	1.09828	
0.119948	0.0113485	1	1	1	1	0	1.09783	
0.121092	0.012016	1	1	1	1	0	1.09698	
0.122196	0.0126836	1	1	1	1	0	1.09688	
0.123264	0.0133511	1	1	1	1	0	1.09553	
0.124298	0.0140187	1	1	1	1	0	1.0952	
0.125301	0.0146862	1	1	1	1	0	1.09479	
0.126276	0.0153538	1	1	1	1	0	1.09239	
0.127225	0.0160214	1	1	1	1	0	1.09164	
0.128149	0.0166889	1	1	1	1	0	1.09157	
0.129051	0.0173565	1	1	1	1	0	1.09123	
0.129932	0.018024	1	1	1	1	0	1.09081	
0.130793	0.0186916	1	1	1	1	0	1.09021	
0.131636	0.0193591	1	1	1	1	0	1.08982	
0.132461	0.0200267	1	1	1	1	0	1.08947	
0.13327	0.0206943	1	1	1	1	0	1.0888	
0.134064	0.0213618	1	1	1	1	0	1.08841	
0.10974	0.0213618	0.969697	0.999937	1	0.999333	0.000605694	1.088	
0.110946	0.0220294	0.970588	0.999803	1	0.999333	0.000605694	1.08768	
0.112119	0.0226969	0.971429	0.999697	1	0.999333	0.000605694	1.0875	
0.113261	0.0233645	0.972222	0.999657	1	0.999333	0.000605694	1.08744	
0.114374	0.024032	0.972973	0.998457	1	0.999333	0.000605694	1.08629	
0.11546	0.0246996	0.973684	0.997181	1	0.999333	0.000605694	1.08548	
0.11652	0.0253672	0.974359	0.997002	1	0.999333	0.000605694	1.08538	
0.117556	0.0260347	0.975	0.995986	1	0.999333	0.000605694	1.08485	
0.118568	0.0267023	0.97561	0.994866	1	0.999333	0.000605694	1.08432	
0.119559	0.0273698	0.97619	0.994352	1	0.999333	0.000605694	1.08409	
0.120529	0.0280374	0.976744	0.992333	1	0.999333	0.000605694	1.08324	
0.121479	0.0287049	0.977273	0.991583	1	0.999333	0.000605694	1.08294	
0.122411	0.0293725	0.977778	0.991305	1	0.999333	0.000605694	1.08283	
0.123325	0.0300401	0.978261	0.990871	1	0.999333	0.000605694	1.08266	
0.124222	0.0307076	0.978723	0.989289	1	0.999333	0.000605694	1.08205	
0.125103	0.0313752	0.979167	0.988369	1	0.999333	0.000605694	1.0817	
0.125969	0.0320427	0.979592	0.988317	1	0.999333	0.000605694	1.08168	
0.12682	0.0327103	0.98	0.987001	1	0.999333	0.000605694	1.08118	
0.127657	0.0333778	0.980392	0.986032	1	0.999333	0.000605694	1.08081	
0.12848	0.0340454	0.980769	0.984947	1	0.999333	0.000605694	1.08039	
0.129291	0.034713	0.981132	0.984159	1	0.999333	0.000605694	1.08008	
0.130089	0.0353805	0.981481	0.983166	1	0.999333	0.000605694	1.07968	
0.130875	0.0360481	0.981818	0.982277	1	0.999333	0.000605694	1.07931	
0.13165	0.0367156	0.982143	0.981672	1	0.999333	0.000605694	1.07905	
0.132414	0.0373832	0.982456	0.980435	1	0.999333	0.000605694	1.07849	
0.133167	0.0380507	0.982759	0.98035	1	0.999333	0.000605694	1.07845	
0.13391	0.0387183	0.983051	0.980265	1	0.999333	0.000605694	1.07841	
0.134644	0.0393858	0.983333	0.979726	1	0.999333	0.000605694	1.07816	
0.135368	0.0400534	0.983607	0.978585	1	0.999333	0.000605694	1.07765	
0.136082	0.040721	0.983871	0.978216	1	0.999333	0.000605694	1.07749	
0.136788	0.0413885	0.984127	0.977511	1	0.999333	0.000605694	1.07719	
0.137486	0.0420561	0.984375	0.975974	1	0.999333	0.000605694	1.07656	
0.138175	0.0427236	0.984615	0.974027	1	0.999333	0.000605694	1.0758	
0.138857	0.0433912	0.984848	0.973099	1	0.999333	0.000605694	1.07545	
0.139531	0.0440587	0.985075	0.972723	1	0.999333	0.000605694	1.07531	
0.140197	0.0447263	0.985294	0.972071	1	0.999333	0.000605694	1.07507	
