InformationGainRatio	TPR	PPV	LocalPPV	Ideal-PPV	Ideal-PPV_FPRelative	FPR	Cutoff	
0.186541	0.00171821	1	1	1	1	0	1.09478	
0.0303085	0.00171821	0.5	0.99032	1	0.998285	0.00038956	1.07884	
0.0701275	0.00343643	0.666667	0.974383	1	0.998285	0.00038956	1.06791	
0.0986421	0.00515464	0.75	0.974227	1	0.998285	0.00038956	1.06782	
0.0567739	0.00515464	0.6	0.968086	1	0.996575	0.00077912	1.06443	
0.0769271	0.00687285	0.666667	0.96314	1	0.996575	0.00077912	1.06187	
0.0940049	0.00859107	0.714286	0.960027	1	0.996575	0.00077912	1.06032	
0.108649	0.0103093	0.75	0.93944	1	0.996575	0.00077912	1.05086	
0.121384	0.0120275	0.777778	0.892277	1	0.996575	0.00077912	1.03126	
0.0940813	0.0120275	0.7	0.884037	1	0.994872	0.00116868	1.02784	
0.105349	0.0137457	0.727273	0.883679	1	0.994872	0.00116868	1.02769	
0.115575	0.0154639	0.75	0.878479	1	0.994872	0.00116868	1.0255	
0.124913	0.0171821	0.769231	0.867505	1	0.994872	0.00116868	1.02076	
0.104507	0.0171821	0.714286	0.859805	1	0.993174	0.00155824	1.0173	
0.0884056	0.0171821	0.666667	0.858156	1	0.991482	0.0019478	1.01654	
0.0967918	0.0189003	0.6875	0.857338	1	0.991482	0.0019478	1.01616	
0.104681	0.0206186	0.705882	0.852894	1	0.991482	0.0019478	1.01406	
0.112119	0.0223368	0.722222	0.850151	1	0.991482	0.0019478	1.01273	
0.119146	0.024055	0.736842	0.849826	1	0.991482	0.0019478	1.01257	
0.125801	0.0257732	0.75	0.84755	1	0.991482	0.0019478	1.01144	
0.132116	0.0274914	0.761905	0.838166	1	0.991482	0.0019478	1.0065	
0.138122	0.0292096	0.772727	0.837023	1	0.991482	0.0019478	1.00586	
0.143846	0.0309278	0.782609	0.83493	1	0.991482	0.0019478	1.00466	
0.129955	0.0309278	0.75	0.831475	1	0.989796	0.00233736	1.00259	
0.135454	0.032646	0.76	0.829489	1	0.989796	0.00233736	1.00134	
0.140731	0.0343643	0.769231	0.825451	1	0.989796	0.00233736	0.998625	
0.145802	0.0360825	0.777778	0.824962	1	0.989796	0.00233736	0.998277	
0.15068	0.0378007	0.785714	0.823014	1	0.989796	0.00233736	0.99684	
0.155381	0.0395189	0.793103	0.8223	1	0.989796	0.00233736	0.996291	
0.159916	0.0412371	0.8	0.822225	1	0.989796	0.00233736	0.996233	
0.147913	0.0412371	0.774194	0.822205	1	0.988115	0.00272692	0.996217	
0.152336	0.0429553	0.78125	0.821057	1	0.988115	0.00272692	0.995301	
0.141611	0.0429553	0.757576	0.819196	1	0.986441	0.00311648	0.993723	
0.145912	0.0446735	0.764706	0.818182	1	0.986441	0.00311648	0.992803	
0.150089	0.0463918	0.771429	0.816587	1	0.986441	0.00311648	0.991301	
0.154148	0.04811	0.777778	0.814347	1	0.986441	0.00311648	0.989132	
0.158095	0.0498282	0.783784	0.812466	1	0.986441	0.00311648	0.987253	
0.161936	0.0515464	0.789474	0.808654	1	0.986441	0.00311648	0.983268	
