InformationGainRatio	TPR	PPV	LocalPPV	Ideal-PPV	Ideal-PPV_FPRelative	FPR	Cutoff	
0.0302332	0.000417537	1	1	1	1	0	1.1236	
0.032746	0.000835073	1	1	1	1	0	1.12356	
0.00282303	0.000835073	0.666667	0.999999	1	0.999583	0.00132626	1.12353	
3.95794e-05	0.00125261	0.75	0.999953	1	0.999583	0.00132626	1.12337	
0.00847608	0.00125261	0.6	0.999899	1	0.999166	0.00265252	1.12328	
0.00309585	0.00167015	0.666667	0.999876	1	0.999166	0.00265252	1.12325	
0.000796082	0.00208768	0.714286	0.999671	1	0.999166	0.00265252	1.12305	
0.00654875	0.00208768	0.625	0.999606	1	0.998749	0.00397878	1.123	
0.00328253	0.00250522	0.666667	0.998303	1	0.998749	0.00397878	1.12236	
0.00142109	0.00292276	0.7	0.998168	1	0.998749	0.00397878	1.12231	
0.000445254	0.00334029	0.727273	0.997618	1	0.998749	0.00397878	1.12212	
4.63264e-05	0.00375783	0.75	0.99711	1	0.998749	0.00397878	1.12196	
3.22254e-05	0.00417537	0.769231	0.996943	1	0.998749	0.00397878	1.12191	
0.000279021	0.0045929	0.785714	0.996059	1	0.998749	0.00397878	1.12166	
0.000704393	0.00501044	0.8	0.995644	1	0.998749	0.00397878	1.12155	
0.00125235	0.00542797	0.8125	0.994896	1	0.998749	0.00397878	1.12136	
0.00188404	0.00584551	0.823529	0.994446	1	0.998749	0.00397878	1.12125	
0.00257213	0.00626305	0.833333	0.994279	1	0.998749	0.00397878	1.12121	
0.00329706	0.00668058	0.842105	0.994153	1	0.998749	0.00397878	1.12118	
0.00404478	0.00709812	0.85	0.993685	1	0.998749	0.00397878	1.12107	
0.00480505	0.00751566	0.857143	0.993598	1	0.998749	0.00397878	1.12105	
0.00557043	0.00793319	0.863636	0.993555	1	0.998749	0.00397878	1.12104	
0.00633548	0.00835073	0.869565	0.993468	1	0.998749	0.00397878	1.12102	
0.0070962	0.00876827	0.875	0.993294	1	0.998749	0.00397878	1.12098	
0.00784972	0.0091858	0.88	0.99325	1	0.998749	0.00397878	1.12097	
0.00859394	0.00960334	0.884615	0.991906	1	0.998749	0.00397878	1.12067	
0.00932741	0.0100209	0.888889	0.99186	1	0.998749	0.00397878	1.12066	
0.0100491	0.0104384	0.892857	0.991309	1	0.998749	0.00397878	1.12054	
0.0107583	0.0108559	0.896552	0.991263	1	0.998749	0.00397878	1.12053	
0.0114547	0.0112735	0.9	0.990798	1	0.998749	0.00397878	1.12043	
0.012138	0.011691	0.903226	0.990189	1	0.998749	0.00397878	1.1203	
0.0128082	0.0121086	0.90625	0.990047	1	0.998749	0.00397878	1.12027	
0.0134653	0.0125261	0.909091	0.989434	1	0.998749	0.00397878	1.12014	
0.0141095	0.0129436	0.911765	0.989245	1	0.998749	0.00397878	1.1201	
0.0147409	0.0133612	0.914286	0.988913	1	0.998749	0.00397878	1.12003	
0.0153598	0.0137787	0.916667	0.988818	1	0.998749	0.00397878	1.12001	
0.0159665	0.0141962	0.918919	0.988439	1	0.998749	0.00397878	1.11993	
0.0109895	0.0141962	0.894737	0.98825	1	0.998333	0.00530504	1.11989	
0.0115511	0.0146138	0.897436	0.988061	1	0.998333	0.00530504	1.11985	
0.0121052	0.0150313	0.9	0.988013	1	0.998333	0.00530504	1.11984	
0.0126519	0.0154489	0.902439	0.987399	1	0.998333	0.00530504	1.11971	
0.0131911	0.0158664	0.904762	0.986463	1	0.998333	0.00530504	1.11951	
0.0137227	0.0162839	0.906977	0.985723	1	0.998333	0.00530504	1.11935	
0.0142468	0.0167015	0.909091	0.985268	1	0.998333	0.00530504	1.11925	
0.0147635	0.017119	0.911111	0.985222	1	0.998333	0.00530504	1.11924	
0.0152728	0.0175365	0.913043	0.985132	1	0.998333	0.00530504	1.11922	
0.0157748	0.0179541	0.914894	0.984638	1	0.998333	0.00530504	1.11911	
0.0162696	0.0183716	0.916667	0.984373	1	0.998333	0.00530504	1.11905	
0.0167574	0.0187891	0.918367	0.984241	1	0.998333	0.00530504	1.11902	
0.0177122	0.0196242	0.921569	0.984066	1	0.998333	0.00530504	1.11898	
0.0181796	0.0200418	0.923077	0.983935	1	0.998333	0.00530504	1.11895	
0.0186404	0.0204593	0.924528	0.983548	1	0.998333	0.00530504	1.11886	
0.019543	0.0212944	0.927273	0.983421	1	0.998333	0.00530504	1.11883	
0.019985	0.0217119	0.928571	0.983378	1	0.998333	0.00530504	1.11882	
0.0204211	0.0221294	0.929825	0.983336	1	0.998333	0.00530504	1.11881	
0.0212758	0.0229645	0.932203	0.983294	1	0.998333	0.00530504	1.1188	
0.0216947	0.023382	0.933333	0.983252	1	0.998333	0.00530504	1.11879	
0.0221081	0.0237996	0.934426	0.983168	1	0.998333	0.00530504	1.11877	
0.0225163	0.0242171	0.935484	0.982795	1	0.998333	0.00530504	1.11868	
0.0229193	0.0246347	0.936508	0.982511	1	0.998333	0.00530504	1.11861	
0.0233172	0.0250522	0.9375	0.980743	1	0.998333	0.00530504	1.11814	
0.0237101	0.0254697	0.938462	0.980708	1	0.998333	0.00530504	1.11813	
0.0240982	0.0258873	0.939394	0.980639	1	0.998333	0.00530504	1.11811	
0.0244816	0.0263048	0.940299	0.980503	1	0.998333	0.00530504	1.11807	
0.0248604	0.0267223	0.941176	0.980436	1	0.998333	0.00530504	1.11805	
0.0252347	0.0271399	0.942029	0.980271	1	0.998333	0.00530504	1.118	
0.0256047	0.0275574	0.942857	0.980174	1	0.998333	0.00530504	1.11797	
0.0259703	0.0279749	0.943662	0.979678	1	0.998333	0.00530504	1.11781	
0.0263317	0.0283925	0.944444	0.979619	1	0.998333	0.00530504	1.11779	
0.0266891	0.02881	0.945205	0.979561	1	0.998333	0.00530504	1.11777	
0.0273919	0.0296451	0.946667	0.979503	1	0.998333	0.00530504	1.11775	
0.0277376	0.0300626	0.947368	0.979474	1	0.998333	0.00530504	1.11774	
0.0280795	0.0304802	0.948052	0.979446	1	0.998333	0.00530504	1.11773	
0.0284178	0.0308977	0.948718	0.979418	1	0.998333	0.00530504	1.11772	
0.0287525	0.0313152	0.949367	0.978963	1	0.998333	0.00530504	1.11755	
0.0290837	0.0317328	0.95	0.978839	1	0.998333	0.00530504	1.1175	
0.0294116	0.0321503	0.950617	0.978743	1	0.998333	0.00530504	1.11746	
0.0297361	0.0325678	0.95122	0.978673	1	0.998333	0.00530504	1.11743	
0.0300574	0.0329854	0.951807	0.978627	1	0.998333	0.00530504	1.11741	
0.0303755	0.0334029	0.952381	0.978252	1	0.998333	0.00530504	1.11723	
0.0306905	0.0338205	0.952941	0.978196	1	0.998333	0.00530504	1.1172	
0.0310024	0.034238	0.953488	0.977958	1	0.998333	0.00530504	1.11706	
0.0313114	0.0346555	0.954023	0.977898	1	0.998333	0.00530504	1.11702	
0.0316174	0.0350731	0.954545	0.977705	1	0.998333	0.00530504	1.11687	
0.0319206	0.0354906	0.955056	0.977683	1	0.998333	0.00530504	1.11685	
0.032221	0.0359081	0.955556	0.977623	1	0.998333	0.00530504	1.11679	
0.0325187	0.0363257	0.956044	0.977528	1	0.998333	0.00530504	1.11667	
0.0328137	0.0367432	0.956522	0.977478	1	0.998333	0.00530504	1.11659	
0.0331061	0.0371608	0.956989	0.977434	1	0.998333	0.00530504	1.11652	
0.0333959	0.0375783	0.957447	0.977428	1	0.998333	0.00530504	1.11651	
0.033968	0.0384134	0.958333	0.977422	1	0.998333	0.00530504	1.1165	
0.0342504	0.0388309	0.958763	0.97738	1	0.998333	0.00530504	1.11643	
0.0345304	0.0392484	0.959184	0.977339	1	0.998333	0.00530504	1.11636	
0.0348081	0.039666	0.959596	0.977321	1	0.998333	0.00530504	1.11633	
0.0350836	0.0400835	0.96	0.977293	1	0.998333	0.00530504	1.11628	
